

############################ Log - Start ############################
# Log initialized at: 10/21/13 16:48:19
Time	Real temperature	Average temperature	Setpoint temperature
4.05311584473e-06	20.1	20.1	20.0
1.09875512123	20.0	20.05	20.0
2.15153813362	19.9	20.0	20.0
3.18474507332	19.9	19.9666666667	20.0
4.25208091736	20.0	19.975	20.0
5.38327312469	20.1	20.0	20.0
6.41407608986	20.1	20.0090909091	20.0
7.4953250885	20.0	20.0153846154	20.0
8.53565812111	19.9	20.0	20.0
9.61267805099	20.0	19.9941176471	20.0
10.7193801403	19.9	19.9894736842	20.0
11.7515809536	19.9	19.985	20.0
12.8652350903	20.0	19.9818181818	20.0
13.92654109	20.1	19.9875	20.0
14.9834759235	20.1	19.9961538462	20.0
16.031799078	20.0	19.9964285714	20.0
17.0634329319	20.1	20.0033333333	20.0
18.1781129837	20.2	20.0096774194	20.0
19.2366819382	20.1	20.0181818182	20.0
20.319370985	20.0	20.0171428571	20.0
21.3515839577	20.0	20.0162162162	20.0
22.4583051205	19.9	20.0102564103	20.0
23.5020711422	19.9	20.0024390244	20.0
24.561868906	19.8	19.9976190476	20.0
25.6639249325	19.8	19.9886363636	20.0

# Log finished at: 10/21/13 16:48:45
############################ Log - End ############################

############################ Log - Start ############################
# Log initialized at: 10/21/13 16:48:58
Time	Real temperature	Average temperature	Setpoint temperature
5.00679016113e-06	19.9	19.9	20.0
1.0931391716	19.9	19.9	20.0
2.13251113892	19.8	19.85	20.0
3.24977016449	19.8	19.85	20.0
4.33250999451	19.8	19.85	20.0
5.4328660965	19.9	19.86	20.0
6.46526408195	19.9	19.8636363636	20.0
7.56263518333	19.9	19.8769230769	20.0
8.59402799606	19.9	19.88	20.0
9.6637980938	19.9	19.8764705882	20.0
10.8300170898	20.0	19.8842105263	20.0
11.8922860622	20.1	19.9047619048	20.0
12.9874670506	19.9	19.9043478261	20.0
14.0208899975	19.9	19.9041666667	20.0
15.0938391685	19.9	19.9038461538	20.0
16.1586380005	19.9	19.9071428571	20.0
17.2336711884	19.8	19.9033333333	20.0
18.339756012	19.8	19.89375	20.0
19.3712379932	19.6	19.8848484848	20.0
20.5175349712	19.7	19.8742857143	20.0
21.5754330158	19.8	19.8702702703	20.0
22.6407690048	19.9	19.8692307692	20.0
23.8011760712	20.0	19.8756097561	20.0
24.8599660397	19.9	19.8790697674	20.0
25.9408280849	19.8	19.8772727273	20.0

# Log finished at: 10/21/13 16:49:24
############################ Log - End ############################

############################ Log - Start ############################
# Log initialized at: 10/21/13 16:51:32
Time	Real temperature	Average temperature	Setpoint temperature

# Log finished at: 10/21/13 16:51:40
############################ Log - End ############################

############################ Log - Start ############################
# Log initialized at: 10/21/13 16:52:25
