############################ Log - Start ############################
# Log initialized at: 06/06/14 17:13:15
# motor device
Time	motor/omsvme58_exp/39	motor/omsvme58_exp/27	Timestamp	Datetime
3.136	0.000	15.000	1402067598.34	06/06/14 17:13:18
3.272	1.000	15.000	1402067598.48	06/06/14 17:13:18
3.411	2.000	15.000	1402067598.62	06/06/14 17:13:18
3.548	3.000	15.000	1402067598.75	06/06/14 17:13:18
3.685	4.000	15.000	1402067598.89	06/06/14 17:13:18
3.822	5.000	15.000	1402067599.03	06/06/14 17:13:19
3.959	6.000	15.000	1402067599.16	06/06/14 17:13:19
4.096	7.000	15.000	1402067599.3	06/06/14 17:13:19
4.233	8.000	15.000	1402067599.44	06/06/14 17:13:19
4.371	9.000	15.000	1402067599.57	06/06/14 17:13:19
4.507	10.000	15.000	1402067599.71	06/06/14 17:13:19
4.642	11.000	15.000	1402067599.85	06/06/14 17:13:19
4.780	12.000	15.000	1402067599.98	06/06/14 17:13:19
4.916	13.000	15.000	1402067600.12	06/06/14 17:13:20
5.053	14.000	15.000	1402067600.26	06/06/14 17:13:20
5.191	15.000	15.000	1402067600.38	06/06/14 17:13:20
8.505	15.000	0.000	1402067603.71	06/06/14 17:13:23
8.643	15.000	1.000	1402067603.85	06/06/14 17:13:23
8.779	15.000	2.000	1402067603.98	06/06/14 17:13:23
8.917	15.000	3.000	1402067604.12	06/06/14 17:13:24
9.052	15.000	4.000	1402067604.26	06/06/14 17:13:24
9.189	15.000	5.000	1402067604.39	06/06/14 17:13:24
9.326	15.000	6.000	1402067604.53	06/06/14 17:13:24
9.466	15.000	7.000	1402067604.67	06/06/14 17:13:24
9.601	15.000	8.000	1402067604.81	06/06/14 17:13:24
9.738	15.000	9.000	1402067604.94	06/06/14 17:13:24
9.874	15.000	10.000	1402067605.08	06/06/14 17:13:25
10.012	15.000	11.000	1402067605.22	06/06/14 17:13:25
10.149	15.000	12.000	1402067605.36	06/06/14 17:13:25
10.291	15.000	13.000	1402067605.5	06/06/14 17:13:25
10.428	15.000	14.000	1402067605.63	06/06/14 17:13:25
10.565	15.000	15.000	1402067605.75	06/06/14 17:13:25

# Log finished at: 06/06/14 17:13:25
############################# Log - End #############################
