############################ Log - Start ############################
# Log initialized at: 06/06/14 17:15:06
# motor device
Time	motor/omsvme58_exp/27	motor/omsvme58_exp/39	motor/omsvme58_exp/33	Timestamp	Datetime
6.404	0.000	15.000	0.000	1402067713.41	06/06/14 17:15:13
6.539	1.000	15.000	0.000	1402067713.55	06/06/14 17:15:13
6.678	2.000	15.000	0.000	1402067713.68	06/06/14 17:15:13
6.815	3.000	15.000	0.000	1402067713.81	06/06/14 17:15:13
6.950	4.000	15.000	0.000	1402067713.95	06/06/14 17:15:13
7.086	5.000	15.000	0.000	1402067714.09	06/06/14 17:15:14
7.223	6.000	15.000	0.000	1402067714.23	06/06/14 17:15:14
7.361	7.000	15.000	0.000	1402067714.36	06/06/14 17:15:14
7.497	8.000	15.000	0.000	1402067714.5	06/06/14 17:15:14
7.635	9.000	15.000	0.000	1402067714.64	06/06/14 17:15:14
7.772	10.000	15.000	0.000	1402067714.78	06/06/14 17:15:14
7.827	11.000	15.000	0.000	1402067714.83	06/06/14 17:15:14
7.963	12.000	15.000	0.000	1402067714.97	06/06/14 17:15:14
8.101	13.000	15.000	0.000	1402067715.11	06/06/14 17:15:15
8.242	14.000	15.000	0.000	1402067715.24	06/06/14 17:15:15
8.378	15.000	15.000	0.000	1402067715.36	06/06/14 17:15:15
11.709	15.000	0.000	0.000	1402067718.71	06/06/14 17:15:18
11.847	15.000	1.000	0.000	1402067718.85	06/06/14 17:15:18
11.986	15.000	2.000	0.000	1402067718.99	06/06/14 17:15:18
12.123	15.000	3.000	0.000	1402067719.12	06/06/14 17:15:19
12.259	15.000	4.000	0.000	1402067719.26	06/06/14 17:15:19
12.398	15.000	5.000	0.000	1402067719.4	06/06/14 17:15:19
12.534	15.000	6.000	0.000	1402067719.54	06/06/14 17:15:19
12.671	15.000	7.000	0.000	1402067719.67	06/06/14 17:15:19
12.806	15.000	8.000	0.000	1402067719.81	06/06/14 17:15:19
12.945	15.000	9.000	0.000	1402067719.95	06/06/14 17:15:19
13.084	15.000	10.000	0.000	1402067720.09	06/06/14 17:15:20
13.221	15.000	11.000	0.000	1402067720.23	06/06/14 17:15:20
13.359	15.000	12.000	0.000	1402067720.36	06/06/14 17:15:20
13.498	15.000	13.000	0.000	1402067720.5	06/06/14 17:15:20
13.634	15.000	14.000	0.000	1402067720.64	06/06/14 17:15:20
13.771	15.000	15.000	0.000	1402067720.75	06/06/14 17:15:20
13.848	15.000	15.000	0.000	1402067720.85	06/06/14 17:15:20
17.248	0.000	15.000	1.000	1402067724.25	06/06/14 17:15:24
17.389	1.000	15.000	1.000	1402067724.39	06/06/14 17:15:24
17.525	2.000	15.000	1.000	1402067724.53	06/06/14 17:15:24
17.661	3.000	15.000	1.000	1402067724.66	06/06/14 17:15:24
17.796	4.000	15.000	1.000	1402067724.8	06/06/14 17:15:24
17.936	5.000	15.000	1.000	1402067724.94	06/06/14 17:15:24
18.073	6.000	15.000	1.000	1402067725.08	06/06/14 17:15:25
18.211	7.000	15.000	1.000	1402067725.21	06/06/14 17:15:25
18.348	8.000	15.000	1.000	1402067725.35	06/06/14 17:15:25
18.486	9.000	15.000	1.000	1402067725.49	06/06/14 17:15:25
18.623	10.000	15.000	1.000	1402067725.62	06/06/14 17:15:25
18.760	11.000	15.000	1.000	1402067725.76	06/06/14 17:15:25
18.896	12.000	15.000	1.000	1402067725.9	06/06/14 17:15:25
19.033	13.000	15.000	1.000	1402067726.03	06/06/14 17:15:26
19.170	14.000	15.000	1.000	1402067726.17	06/06/14 17:15:26
19.308	15.000	15.000	1.000	1402067726.29	06/06/14 17:15:26
22.600	15.000	0.000	1.000	1402067729.6	06/06/14 17:15:29
22.737	15.000	1.000	1.000	1402067729.74	06/06/14 17:15:29
22.873	15.000	2.000	1.000	1402067729.88	06/06/14 17:15:29
23.011	15.000	3.000	1.000	1402067730.01	06/06/14 17:15:30
23.148	15.000	4.000	1.000	1402067730.15	06/06/14 17:15:30
23.285	15.000	5.000	1.000	1402067730.29	06/06/14 17:15:30
23.422	15.000	6.000	1.000	1402067730.43	06/06/14 17:15:30
23.560	15.000	7.000	1.000	1402067730.56	06/06/14 17:15:30
23.697	15.000	8.000	1.000	1402067730.7	06/06/14 17:15:30
23.834	15.000	9.000	1.000	1402067730.83	06/06/14 17:15:30
23.971	15.000	10.000	1.000	1402067730.97	06/06/14 17:15:30
24.108	15.000	11.000	1.000	1402067731.11	06/06/14 17:15:31
24.245	15.000	12.000	1.000	1402067731.25	06/06/14 17:15:31
24.385	15.000	13.000	1.000	1402067731.39	06/06/14 17:15:31
24.521	15.000	14.000	1.000	1402067731.52	06/06/14 17:15:31
24.658	15.000	15.000	1.000	1402067731.64	06/06/14 17:15:31
24.722	15.000	15.000	1.000	1402067731.72	06/06/14 17:15:31
28.124	0.000	15.000	2.000	1402067735.13	06/06/14 17:15:35
28.264	1.000	15.000	2.000	1402067735.27	06/06/14 17:15:35
28.401	2.000	15.000	2.000	1402067735.4	06/06/14 17:15:35
28.540	3.000	15.000	2.000	1402067735.54	06/06/14 17:15:35
28.678	4.000	15.000	2.000	1402067735.68	06/06/14 17:15:35
28.818	5.000	15.000	2.000	1402067735.82	06/06/14 17:15:35
28.955	6.000	15.000	2.000	1402067735.96	06/06/14 17:15:35
29.095	7.000	15.000	2.000	1402067736.1	06/06/14 17:15:36
29.232	8.000	15.000	2.000	1402067736.23	06/06/14 17:15:36
29.369	9.000	15.000	2.000	1402067736.37	06/06/14 17:15:36
29.505	10.000	15.000	2.000	1402067736.51	06/06/14 17:15:36
29.643	11.000	15.000	2.000	1402067736.65	06/06/14 17:15:36
29.790	12.000	15.000	2.000	1402067736.79	06/06/14 17:15:36
29.925	13.000	15.000	2.000	1402067736.93	06/06/14 17:15:36
30.065	14.000	15.000	2.000	1402067737.07	06/06/14 17:15:37
30.202	15.000	15.000	2.000	1402067737.18	06/06/14 17:15:37
33.486	15.000	0.000	2.000	1402067740.49	06/06/14 17:15:40
33.625	15.000	1.000	2.000	1402067740.63	06/06/14 17:15:40
33.763	15.000	2.000	2.000	1402067740.77	06/06/14 17:15:40
