############################ Log - Start ############################
# Log initialized at: 06/06/14 17:59:38
# motor device
Time	motor/omsvme58_exp/39	Timestamp	Datetime
3.387	0.000	1402070381.55	06/06/14 17:59:41
3.742	1.000	1402070381.91	06/06/14 17:59:41
4.099	2.000	1402070382.27	06/06/14 17:59:42
4.464	3.000	1402070382.63	06/06/14 17:59:42
4.817	4.000	1402070382.98	06/06/14 17:59:42
5.171	5.000	1402070383.34	06/06/14 17:59:43
5.524	6.000	1402070383.69	06/06/14 17:59:43
5.880	7.000	1402070384.05	06/06/14 17:59:44
6.236	8.000	1402070384.4	06/06/14 17:59:44
6.590	9.000	1402070384.76	06/06/14 17:59:44
6.942	10.000	1402070385.11	06/06/14 17:59:45
7.308	11.000	1402070385.48	06/06/14 17:59:45
7.675	12.000	1402070385.84	06/06/14 17:59:45
8.029	13.000	1402070386.2	06/06/14 17:59:46
8.307	14.000	1402070386.47	06/06/14 17:59:46
8.661	15.000	1402070386.81	06/06/14 17:59:46

# Log finished at: 06/06/14 17:59:46
############################# Log - End #############################
