############################ Log - Start ############################
# Log initialized at: 06/11/14 10:07:08
# motor device
Time	motor/omsvme58_exp/39	Timestamp	Datetime############################ Log - Start ############################
# Log initialized at: 06/11/14 10:07:08
# motor device
Time	motor/omsvme58_exp/39	Timestamp	Datetime
3.390	0.000	1402474032.08	06/11/14 10:07:12
3.743	1.000	1402474032.43	06/11/14 10:07:12
4.093	2.000	1402474032.78	06/11/14 10:07:12
4.447	3.000	1402474033.13	06/11/14 10:07:13
4.800	4.000	1402474033.48	06/11/14 10:07:13
5.150	5.000	1402474033.82	06/11/14 10:07:13
5.511	6.000	1402474034.19	06/11/14 10:07:14
5.861	7.000	1402474034.54	06/11/14 10:07:14
6.210	8.000	1402474034.88	06/11/14 10:07:14
6.564	9.000	1402474035.26	06/11/14 10:07:15
6.915	10.000	1402474035.6	06/11/14 10:07:15
7.266	11.000	1402474035.95	06/11/14 10:07:15
7.617	12.000	1402474036.3	06/11/14 10:07:16
7.970	13.000	1402474036.65	06/11/14 10:07:16
8.320	14.000	1402474037.01	06/11/14 10:07:17
8.672	15.000	1402474037.34	06/11/14 10:07:17

# Log finished at: 06/11/14 10:07:17
############################# Log - End #############################

# Log finished at: 06/11/14 10:07:17
############################# Log - End #############################
