############################ Log - Start ############################
# Log initialized at: 07/29/14 16:02:18
# Temperature device: tango://haspp02oh1:10000/p02/eurotherm/exp.01
# Error threshold: 2.000
Time	Real temperature	Average temperature	Setpoint temperature	Timestamp	Datetime
0.000	21.800	21.800	20.000	1406642538.69	07/29/14 16:02:18
1.140	21.800	21.800	30.000	1406642539.73	07/29/14 16:02:19
2.176	21.800	21.800	30.000	1406642540.83	07/29/14 16:02:20
3.282	22.200	21.867	30.000	1406642541.87	07/29/14 16:02:21
4.320	23.500	22.229	30.000	1406642542.91	07/29/14 16:02:22
5.356	24.500	22.622	30.000	1406642544.02	07/29/14 16:02:24
6.470	25.900	23.155	30.000	1406642545.06	07/29/14 16:02:25
7.506	26.300	23.417	30.000	1406642546.12	07/29/14 16:02:26
8.568	27.200	23.900	30.000	1406642547.22	07/29/14 16:02:27
9.670	28.500	24.425	30.000	1406642548.26	07/29/14 16:02:28
10.706	29.300	24.712	30.000	1406642549.38	07/29/14 16:02:29
11.828	30.400	25.284	30.000	1406642550.48	07/29/14 16:02:30
12.930	30.700	25.795	30.000	1406642551.52	07/29/14 16:02:31
13.966	30.700	26.222	30.000	1406642552.6	07/29/14 16:02:32
15.048	30.400	26.432	30.000	1406642553.75	07/29/14 16:02:33
16.196	30.200	26.719	30.000	1406642554.78	07/29/14 16:02:34
17.232	30.100	26.957	30.000	1406642555.87	07/29/14 16:02:35
18.322	29.700	27.147	30.000	1406642556.92	07/29/14 16:02:36
19.374	29.200	27.284	30.000	1406642557.96	07/29/14 16:02:37
20.410	29.100	27.339	30.000	1406642559.04	07/29/14 16:02:39
21.492	29.300	27.443	30.000	1406642560.11	07/29/14 16:02:40
22.556	29.900	27.568	30.000	1406642561.17	07/29/14 16:02:41
23.618	30.100	27.610	30.000	1406642562.26	07/29/14 16:02:42
24.710	30.000	27.729	30.000	1406642563.3	07/29/14 16:02:43
25.746	30.000	27.862	30.000	1406642564.36	07/29/14 16:02:44
26.812	29.600	27.945	30.000	1406642565.46	07/29/14 16:02:45
27.909	29.400	28.011	30.000	1406642566.5	07/29/14 16:02:46
28.948	29.000	27.988	30.000	1406642567.53	07/29/14 16:02:47
29.984	28.700	28.069	30.000	1406642568.63	07/29/14 16:02:48
31.084	29.200	28.108	30.000	1406642569.67	07/29/14 16:02:49
32.120	29.800	28.106	30.000	1406642570.78	07/29/14 16:02:50
33.232	29.800	28.167	30.000	1406642571.88	07/29/14 16:02:51
34.334	29.900	28.257	30.000	1406642572.92	07/29/14 16:02:52
35.374	29.700	28.307	30.000	1406642574.04	07/29/14 16:02:54
36.486	29.300	28.345	30.000	1406642575.08	07/29/14 16:02:55
37.530	29.100	28.538	30.000	1406642576.12	07/29/14 16:02:56
38.566	29.000	28.708	30.000	1406642577.25	07/29/14 16:02:57
39.698	29.800	28.962	30.000	1406642578.29	07/29/14 16:02:58
40.736	30.200	29.195	30.000	1406642579.32	07/29/14 16:02:59
41.772	30.200	29.358	30.000	1406642580.41	07/29/14 16:03:00
42.860	29.900	29.507	30.000	1406642581.45	07/29/14 16:03:01
43.896	29.600	29.597	30.000	1406642582.5	07/29/14 16:03:02
44.946	29.300	29.658	30.000	1406642583.61	07/29/14 16:03:03
46.054	29.000	29.700	30.000	1406642584.64	07/29/14 16:03:04
47.090	29.000	29.712	30.000	1406642585.75	07/29/14 16:03:05
48.202	29.600	29.687	30.000	1406642586.79	07/29/14 16:03:06
49.238	30.100	29.663	30.000	1406642587.83	07/29/14 16:03:07
50.274	30.100	29.637	30.000	1406642588.97	07/29/14 16:03:08
51.420	30.000	29.622	30.000	1406642590.01	07/29/14 16:03:10
52.458	29.900	29.618	30.000	1406642591.05	07/29/14 16:03:11
53.494	29.400	29.597	30.000	1406642592.13	07/29/14 16:03:12
54.576	29.300	29.582	30.000	1406642593.17	07/29/14 16:03:13
55.616	29.100	29.568	30.000	1406642594.24	07/29/14 16:03:14
56.684	29.700	29.583	30.000	1406642595.27	07/29/14 16:03:15
